id_global,num_en_bloque,seccion,bloque,feature,estado,evidencia_backend,evidencia_frontend,tests,nota
54,14,SECCIÓN A — FOUNDER CATALOG (600),D3 — Competitor Radar,Mapeo de canales del competidor (qué portales usa),,,,,
55,15,SECCIÓN A — FOUNDER CATALOG (600),D3 — Competitor Radar,Recortes de prensa del competidor,,,,,
56,16,SECCIÓN A — FOUNDER CATALOG (600),D3 — Competitor Radar,Eventos / open houses del competidor,,,,,
57,17,SECCIÓN A — FOUNDER CATALOG (600),D3 — Competitor Radar,Tasa de venta estimada del competidor,,,,,
58,18,SECCIÓN A — FOUNDER CATALOG (600),D3 — Competitor Radar,SEO/SEM presence (¿anuncian Google? ¿LinkedIn?),,,,,
59,19,SECCIÓN A — FOUNDER CATALOG (600),D3 — Competitor Radar,Reporte ejecutivo trimestral comparativo IA,,,,,
60,20,SECCIÓN A — FOUNDER CATALOG (600),D3 — Competitor Radar,Exportar comparativa como deck para CEO,,,,,
61,1,SECCIÓN A — FOUNDER CATALOG (600),D4 — Dynamic Pricing AI,Sugerencia de precio por unidad individual,,,,,
62,2,SECCIÓN A — FOUNDER CATALOG (600),D4 — Dynamic Pricing AI,Sugerencia de precio por tipo de unidad,,,,,
63,3,SECCIÓN A — FOUNDER CATALOG (600),D4 — Dynamic Pricing AI,Sugerencia de precio por torre/etapa,,,,,
64,4,SECCIÓN A — FOUNDER CATALOG (600),D4 — Dynamic Pricing AI,Razonamiento explícito (por qué subir/bajar),,,,,
65,5,SECCIÓN A — FOUNDER CATALOG (600),D4 — Dynamic Pricing AI,Histórico de aceptación de sugerencias,,,,,
66,6,SECCIÓN A — FOUNDER CATALOG (600),D4 — Dynamic Pricing AI,A/B test de precios (mismo modelo a 2 precios),,,,,
67,7,SECCIÓN A — FOUNDER CATALOG (600),D4 — Dynamic Pricing AI,Elasticidad estimada por unidad,,,,,
68,8,SECCIÓN A — FOUNDER CATALOG (600),D4 — Dynamic Pricing AI,Trigger de demanda (X visitas en Y días → sube precio),,,,,
69,9,SECCIÓN A — FOUNDER CATALOG (600),D4 — Dynamic Pricing AI,Trigger de oferta (Y días sin cierre → baja precio),,,,,
70,10,SECCIÓN A — FOUNDER CATALOG (600),D4 — Dynamic Pricing AI,Sensibilidad por canal (asesor vs directo),,,,,
71,11,SECCIÓN A — FOUNDER CATALOG (600),D4 — Dynamic Pricing AI,Discount calculator (descuento máximo recomendado),,,,,
72,12,SECCIÓN A — FOUNDER CATALOG (600),D4 — Dynamic Pricing AI,Bundle pricing (2 unidades juntas),,,,,
73,13,SECCIÓN A — FOUNDER CATALOG (600),D4 — Dynamic Pricing AI,Esquema descuento por pronto pago,,,,,
74,14,SECCIÓN A — FOUNDER CATALOG (600),D4 — Dynamic Pricing AI,Calendario de subidas programadas,,,,,
75,15,SECCIÓN A — FOUNDER CATALOG (600),D4 — Dynamic Pricing AI,Ajuste por temporada (high-low),,,,,
76,16,SECCIÓN A — FOUNDER CATALOG (600),D4 — Dynamic Pricing AI,"Ajuste por evento (lanzamiento, cierre etapa)",,,,,
77,17,SECCIÓN A — FOUNDER CATALOG (600),D4 — Dynamic Pricing AI,Aprobación manual director comercial antes de aplicar,,,,,
78,18,SECCIÓN A — FOUNDER CATALOG (600),D4 — Dynamic Pricing AI,Audit trail de cada cambio aplicado,,,,,
79,19,SECCIÓN A — FOUNDER CATALOG (600),D4 — Dynamic Pricing AI,Reporte ROI del feature (cuánto facturó extra),,,,,
80,20,SECCIÓN A — FOUNDER CATALOG (600),D4 — Dynamic Pricing AI,Integración con landings dinámicas,,,,,
81,1,SECCIÓN A — FOUNDER CATALOG (600),D5 — IE Score por proyecto,Score 0-100 vs colonia,,,,,
82,2,SECCIÓN A — FOUNDER CATALOG (600),D5 — IE Score por proyecto,Score 0-100 vs ciudad,,,,,
83,3,SECCIÓN A — FOUNDER CATALOG (600),D5 — IE Score por proyecto,Score 0-100 vs benchmark nacional,,,,,
84,4,SECCIÓN A — FOUNDER CATALOG (600),D5 — IE Score por proyecto,"Desglose por dimensión (precio, ubicación, amenidades, marca, absorción)",,,,,
85,5,SECCIÓN A — FOUNDER CATALOG (600),D5 — IE Score por proyecto,Trust Score del developer (basado en historial),,,,,
86,6,SECCIÓN A — FOUNDER CATALOG (600),D5 — IE Score por proyecto,"Score climático (riesgo inundación, sismo, isla calor)",,,,,
87,7,SECCIÓN A — FOUNDER CATALOG (600),D5 — IE Score por proyecto,"Score conectividad (transporte, vialidades, fibra)",,,,,
88,8,SECCIÓN A — FOUNDER CATALOG (600),D5 — IE Score por proyecto,Score educación (escuelas en radio),,,,,
89,9,SECCIÓN A — FOUNDER CATALOG (600),D5 — IE Score por proyecto,Score salud (hospitales en radio),,,,,
90,10,SECCIÓN A — FOUNDER CATALOG (600),D5 — IE Score por proyecto,"Score cultural (museos, parques, vida nocturna)",,,,,
91,11,SECCIÓN A — FOUNDER CATALOG (600),D5 — IE Score por proyecto,Score seguridad (datos públicos delitos colonia),,,,,
92,12,SECCIÓN A — FOUNDER CATALOG (600),D5 — IE Score por proyecto,Score plusvalía histórica + proyectada,,,,,
93,13,SECCIÓN A — FOUNDER CATALOG (600),D5 — IE Score por proyecto,Score liquidez (qué tan rápido se vende usado en la colonia),,,,,
94,14,SECCIÓN A — FOUNDER CATALOG (600),D5 — IE Score por proyecto,Score ROI renta tradicional,,,,,
95,15,SECCIÓN A — FOUNDER CATALOG (600),D5 — IE Score por proyecto,Score ROI renta corta (Airbnb / AirROI),,,,,
96,16,SECCIÓN A — FOUNDER CATALOG (600),D5 — IE Score por proyecto,Comparativa con 5 proyectos similares,,,,,
97,17,SECCIÓN A — FOUNDER CATALOG (600),D5 — IE Score por proyecto,"Badge público ""Top IE Score colonia"" si aplica",,,,,
98,18,SECCIÓN A — FOUNDER CATALOG (600),D5 — IE Score por proyecto,Sello visible en marketplace,,,,,
99,19,SECCIÓN A — FOUNDER CATALOG (600),D5 — IE Score por proyecto,Snapshot histórico mensual del score,,,,,
100,20,SECCIÓN A — FOUNDER CATALOG (600),D5 — IE Score por proyecto,Reporte detallado descargable IA,,,,,
101,1,SECCIÓN A — FOUNDER CATALOG (600),D6 — Demand Heatmap,Mapa de calor de búsquedas por colonia,,,,,
102,2,SECCIÓN A — FOUNDER CATALOG (600),D6 — Demand Heatmap,Filtro por rango de precio buscado,,,,,
103,3,SECCIÓN A — FOUNDER CATALOG (600),D6 — Demand Heatmap,Filtro por tipo de unidad buscado,,,,,
104,4,SECCIÓN A — FOUNDER CATALOG (600),D6 — Demand Heatmap,"Filtro por amenidad buscada (alberca, gym, pet-friendly)",,,,,
105,5,SECCIÓN A — FOUNDER CATALOG (600),D6 — Demand Heatmap,"Filtro por intención (primer hogar, inversión, segunda residencia)",,,,,
106,6,SECCIÓN A — FOUNDER CATALOG (600),D6 — Demand Heatmap,Top 10 queries IA más buscadas (texto libre),,,,,
107,7,SECCIÓN A — FOUNDER CATALOG (600),D6 — Demand Heatmap,Demanda no atendida (búsquedas sin match en inventario),,,,,
108,8,SECCIÓN A — FOUNDER CATALOG (600),D6 — Demand Heatmap,Demanda creciente (qué subió 30% mes a mes),,,,,
109,9,SECCIÓN A — FOUNDER CATALOG (600),D6 — Demand Heatmap,Demanda estacional (qué se busca en qué mes),,,,,
110,10,SECCIÓN A — FOUNDER CATALOG (600),D6 — Demand Heatmap,Origen geográfico de los buscadores,,,,,
111,11,SECCIÓN A — FOUNDER CATALOG (600),D6 — Demand Heatmap,Demografía estimada de los buscadores (rango edad opt-in),,,,,
112,12,SECCIÓN A — FOUNDER CATALOG (600),D6 — Demand Heatmap,Tiempo promedio búsqueda hasta cierre,,,,,
113,13,SECCIÓN A — FOUNDER CATALOG (600),D6 — Demand Heatmap,Funnel búsqueda (impresión → click → ficha → contacto),,,,,
114,14,SECCIÓN A — FOUNDER CATALOG (600),D6 — Demand Heatmap,"Lift por canal (orgánico, asesor, ads, referrer)",,,,,
115,15,SECCIÓN A — FOUNDER CATALOG (600),D6 — Demand Heatmap,Comparativa demanda zona vs supply,,,,,
116,16,SECCIÓN A — FOUNDER CATALOG (600),D6 — Demand Heatmap,Predicción IA demanda 30/60/90 días,,,,,
117,17,SECCIÓN A — FOUNDER CATALOG (600),D6 — Demand Heatmap,Alertas oportunidad (X demanda no atendida en Y zona),,,,,
118,18,SECCIÓN A — FOUNDER CATALOG (600),D6 — Demand Heatmap,Exportar heatmap como GeoJSON,,,,,
119,19,SECCIÓN A — FOUNDER CATALOG (600),D6 — Demand Heatmap,Insights narrados IA mensuales,,,,,
120,20,SECCIÓN A — FOUNDER CATALOG (600),D6 — Demand Heatmap,Ocultar tu propio inventario para ver demanda neta,,,,,
121,1,SECCIÓN A — FOUNDER CATALOG (600),D7 — Lead pipeline cross-channel,Lista unificada de leads de todos los canales,,,,,
122,2,SECCIÓN A — FOUNDER CATALOG (600),D7 — Lead pipeline cross-channel,Tagging automático por canal de origen,,,,,
123,3,SECCIÓN A — FOUNDER CATALOG (600),D7 — Lead pipeline cross-channel,Scoring IA del lead (0-100 probabilidad cierre),,,,,
124,4,SECCIÓN A — FOUNDER CATALOG (600),D7 — Lead pipeline cross-channel,Asignación automática a asesor,,,,,
125,5,SECCIÓN A — FOUNDER CATALOG (600),D7 — Lead pipeline cross-channel,Reasignación manual por admin,,,,,
126,6,SECCIÓN A — FOUNDER CATALOG (600),D7 — Lead pipeline cross-channel,Etapas configurables del pipeline,,,,,
127,7,SECCIÓN A — FOUNDER CATALOG (600),D7 — Lead pipeline cross-channel,Notas y archivos por lead,,,,,
128,8,SECCIÓN A — FOUNDER CATALOG (600),D7 — Lead pipeline cross-channel,Histórico de interacciones,,,,,
129,9,SECCIÓN A — FOUNDER CATALOG (600),D7 — Lead pipeline cross-channel,Tareas y recordatorios por lead,,,,,
130,10,SECCIÓN A — FOUNDER CATALOG (600),D7 — Lead pipeline cross-channel,Integración WhatsApp (mensajes auto-loggeados),,,,,
131,11,SECCIÓN A — FOUNDER CATALOG (600),D7 — Lead pipeline cross-channel,"Email tracking (abrió, hizo click)",,,,,
132,12,SECCIÓN A — FOUNDER CATALOG (600),D7 — Lead pipeline cross-channel,Llamadas registradas (manual),,,,,
133,13,SECCIÓN A — FOUNDER CATALOG (600),D7 — Lead pipeline cross-channel,Conversion tracking lead → cita → reserva,,,,,
134,14,SECCIÓN A — FOUNDER CATALOG (600),D7 — Lead pipeline cross-channel,Time-in-stage (cuánto lleva atorado),,,,,
135,15,SECCIÓN A — FOUNDER CATALOG (600),D7 — Lead pipeline cross-channel,Alertas de leads en frío,,,,,
136,16,SECCIÓN A — FOUNDER CATALOG (600),D7 — Lead pipeline cross-channel,Bulk actions (cambio etapa masivo),,,,,
137,17,SECCIÓN A — FOUNDER CATALOG (600),D7 — Lead pipeline cross-channel,Filtros y vistas guardadas,,,,,
138,18,SECCIÓN A — FOUNDER CATALOG (600),D7 — Lead pipeline cross-channel,Reporte de conversión por canal,,,,,
139,19,SECCIÓN A — FOUNDER CATALOG (600),D7 — Lead pipeline cross-channel,Reporte productividad por asesor,,,,,
140,20,SECCIÓN A — FOUNDER CATALOG (600),D7 — Lead pipeline cross-channel,Exportar CSV / integración Pipedrive/HubSpot,,,,,
141,1,SECCIÓN A — FOUNDER CATALOG (600),D8 — Engagement analytics por unidad,Vistas únicas por unidad,,,,,
142,2,SECCIÓN A — FOUNDER CATALOG (600),D8 — Engagement analytics por unidad,Vistas totales (incluye revisitas),,,,,
143,3,SECCIÓN A — FOUNDER CATALOG (600),D8 — Engagement analytics por unidad,Tiempo promedio en ficha,,,,,
144,4,SECCIÓN A — FOUNDER CATALOG (600),D8 — Engagement analytics por unidad,Scroll depth (qué tanto leen),,,,,
145,5,SECCIÓN A — FOUNDER CATALOG (600),D8 — Engagement analytics por unidad,Click en galería (qué fotos miran más),,,,,
146,6,SECCIÓN A — FOUNDER CATALOG (600),D8 — Engagement analytics por unidad,Click en plano,,,,,
147,7,SECCIÓN A — FOUNDER CATALOG (600),D8 — Engagement analytics por unidad,Click en brochure,,,,,
148,8,SECCIÓN A — FOUNDER CATALOG (600),D8 — Engagement analytics por unidad,Tour virtual completion rate,,,,,
149,9,SECCIÓN A — FOUNDER CATALOG (600),D8 — Engagement analytics por unidad,Comparaciones (con qué otras unidades la comparan),,,,,
150,10,SECCIÓN A — FOUNDER CATALOG (600),D8 — Engagement analytics por unidad,Compartidos (cuántas veces compartieron link),,,,,
151,11,SECCIÓN A — FOUNDER CATALOG (600),D8 — Engagement analytics por unidad,Saves / favoritos,,,,,
152,12,SECCIÓN A — FOUNDER CATALOG (600),D8 — Engagement analytics por unidad,Mapa de calor del scroll,,,,,
153,13,SECCIÓN A — FOUNDER CATALOG (600),D8 — Engagement analytics por unidad,Funnel ficha → contacto,,,,,
154,14,SECCIÓN A — FOUNDER CATALOG (600),D8 — Engagement analytics por unidad,Sources (de dónde vienen visitantes),,,,,
155,15,SECCIÓN A — FOUNDER CATALOG (600),D8 — Engagement analytics por unidad,Devices (mobile vs desktop),,,,,
156,16,SECCIÓN A — FOUNDER CATALOG (600),D8 — Engagement analytics por unidad,Geolocalización del visitante,,,,,
157,17,SECCIÓN A — FOUNDER CATALOG (600),D8 — Engagement analytics por unidad,Frecuencia (visitantes recurrentes),,,,,
158,18,SECCIÓN A — FOUNDER CATALOG (600),D8 — Engagement analytics por unidad,Segmento (asesor vs comprador directo),,,,,
159,19,SECCIÓN A — FOUNDER CATALOG (600),D8 — Engagement analytics por unidad,Conversion lift al cambiar foto/precio,,,,,
160,20,SECCIÓN A — FOUNDER CATALOG (600),D8 — Engagement analytics por unidad,Reporte ejecutivo unidad-por-unidad,,,,,
161,1,SECCIÓN A — FOUNDER CATALOG (600),D9 — Reporte mensual narrado IA,Resumen ejecutivo en 1 párrafo,,,,,
162,2,SECCIÓN A — FOUNDER CATALOG (600),D9 — Reporte mensual narrado IA,Top 3 wins del mes,,,,,
163,3,SECCIÓN A — FOUNDER CATALOG (600),D9 — Reporte mensual narrado IA,Top 3 alertas / áreas de mejora,,,,,
164,4,SECCIÓN A — FOUNDER CATALOG (600),D9 — Reporte mensual narrado IA,Comparativa vs mes anterior,,,,,
165,5,SECCIÓN A — FOUNDER CATALOG (600),D9 — Reporte mensual narrado IA,Comparativa vs mismo mes año pasado,,,,,
166,6,SECCIÓN A — FOUNDER CATALOG (600),D9 — Reporte mensual narrado IA,Forecast del próximo mes,,,,,
167,7,SECCIÓN A — FOUNDER CATALOG (600),D9 — Reporte mensual narrado IA,Insights de competencia,,,,,
168,8,SECCIÓN A — FOUNDER CATALOG (600),D9 — Reporte mensual narrado IA,Insights de demanda,,,,,
169,9,SECCIÓN A — FOUNDER CATALOG (600),D9 — Reporte mensual narrado IA,"Cifras clave (absorción, leads, conversión, precio promedio)",,,,,
170,10,SECCIÓN A — FOUNDER CATALOG (600),D9 — Reporte mensual narrado IA,Gráficas embebidas,,,,,
171,11,SECCIÓN A — FOUNDER CATALOG (600),D9 — Reporte mensual narrado IA,Recomendaciones IA accionables,,,,,
172,12,SECCIÓN A — FOUNDER CATALOG (600),D9 — Reporte mensual narrado IA,Quotes / testimonios de clientes,,,,,
173,13,SECCIÓN A — FOUNDER CATALOG (600),D9 — Reporte mensual narrado IA,Logros del equipo (asesores top),,,,,
174,14,SECCIÓN A — FOUNDER CATALOG (600),D9 — Reporte mensual narrado IA,Sección obras (avance vs plan),,,,,
175,15,SECCIÓN A — FOUNDER CATALOG (600),D9 — Reporte mensual narrado IA,"Sección financiera (ingresos por mes, pendientes)",,,,,
176,16,SECCIÓN A — FOUNDER CATALOG (600),D9 — Reporte mensual narrado IA,Versión ejecutiva (1 pág) y completa (10 págs),,,,,
177,17,SECCIÓN A — FOUNDER CATALOG (600),D9 — Reporte mensual narrado IA,PDF branded del developer (no DMX branding),,,,,
178,18,SECCIÓN A — FOUNDER CATALOG (600),D9 — Reporte mensual narrado IA,Distribución automática vía email a stakeholders,,,,,
179,19,SECCIÓN A — FOUNDER CATALOG (600),D9 — Reporte mensual narrado IA,Compartible vía link único trackeable,,,,,
180,20,SECCIÓN A — FOUNDER CATALOG (600),D9 — Reporte mensual narrado IA,Histórico mes-por-mes consultable,,,,,
181,1,SECCIÓN A — FOUNDER CATALOG (600),D10 — Site Selection AI,Recomendación zonas top con demanda no atendida,,,,,
182,2,SECCIÓN A — FOUNDER CATALOG (600),D10 — Site Selection AI,"Recomendación por tipo de proyecto (vertical, mixto, etc.)",,,,,
183,3,SECCIÓN A — FOUNDER CATALOG (600),D10 — Site Selection AI,Recomendación por presupuesto/escala,,,,,
184,4,SECCIÓN A — FOUNDER CATALOG (600),D10 — Site Selection AI,Análisis terrenos disponibles vía datos públicos,,,,,
185,5,SECCIÓN A — FOUNDER CATALOG (600),D10 — Site Selection AI,Análisis uso de suelo permitido por colonia,,,,,
186,6,SECCIÓN A — FOUNDER CATALOG (600),D10 — Site Selection AI,Análisis competencia activa en zona,,,,,
187,7,SECCIÓN A — FOUNDER CATALOG (600),D10 — Site Selection AI,Demanda histórica + proyección 5 años,,,,,
188,8,SECCIÓN A — FOUNDER CATALOG (600),D10 — Site Selection AI,Demografía proyectada (jóvenes vs familias vs adultos mayores),,,,,
189,9,SECCIÓN A — FOUNDER CATALOG (600),D10 — Site Selection AI,"Infraestructura planeada (transporte, vialidades, hospitales)",,,,,
190,10,SECCIÓN A — FOUNDER CATALOG (600),D10 — Site Selection AI,Análisis plusvalía histórica + proyectada,,,,,
191,11,SECCIÓN A — FOUNDER CATALOG (600),D10 — Site Selection AI,Riesgo climático + sismológico,,,,,
192,12,SECCIÓN A — FOUNDER CATALOG (600),D10 — Site Selection AI,Análisis costo construcción zona,,,,,
193,13,SECCIÓN A — FOUNDER CATALOG (600),D10 — Site Selection AI,Análisis precio promedio venta zona (margen estimado),,,,,
194,14,SECCIÓN A — FOUNDER CATALOG (600),D10 — Site Selection AI,Score feasibility 0-100,,,,,
195,15,SECCIÓN A — FOUNDER CATALOG (600),D10 — Site Selection AI,Top 5 colonias con justificación IA,,,,,
196,16,SECCIÓN A — FOUNDER CATALOG (600),D10 — Site Selection AI,Heatmap visual de oportunidad,,,,,
197,17,SECCIÓN A — FOUNDER CATALOG (600),D10 — Site Selection AI,Comparativa entre 3 zonas finalistas,,,,,
198,18,SECCIÓN A — FOUNDER CATALOG (600),D10 — Site Selection AI,Reporte deck-ready para inversionistas,,,,,
199,19,SECCIÓN A — FOUNDER CATALOG (600),D10 — Site Selection AI,Alerta cuando aparece terreno disponible en zona top,,,,,
200,20,SECCIÓN A — FOUNDER CATALOG (600),D10 — Site Selection AI,Integración con bases de terrenos (público + alianzas),,,,,
201,1,SECCIÓN A — FOUNDER CATALOG (600),A1 — Marketplace + capa premium colonia,Listado completo inventario nativo + indexable,,,,,
202,2,SECCIÓN A — FOUNDER CATALOG (600),A1 — Marketplace + capa premium colonia,"Filtros avanzados (precio, m², colonia, amenidad, entrega)",,,,,
203,3,SECCIÓN A — FOUNDER CATALOG (600),A1 — Marketplace + capa premium colonia,Búsqueda full-text + IA semántica,,,,,
204,4,SECCIÓN A — FOUNDER CATALOG (600),A1 — Marketplace + capa premium colonia,Capa precio vs mercado por unidad,,,,,
205,5,SECCIÓN A — FOUNDER CATALOG (600),A1 — Marketplace + capa premium colonia,Capa IE Score colonia visible,,,,,
206,6,SECCIÓN A — FOUNDER CATALOG (600),A1 — Marketplace + capa premium colonia,Capa absorción del proyecto,,,,,
207,7,SECCIÓN A — FOUNDER CATALOG (600),A1 — Marketplace + capa premium colonia,Capa ghost zones (zonas en pausa),,,,,
208,8,SECCIÓN A — FOUNDER CATALOG (600),A1 — Marketplace + capa premium colonia,Capa climate twin (riesgo),,,,,
209,9,SECCIÓN A — FOUNDER CATALOG (600),A1 — Marketplace + capa premium colonia,Capa ROI renta tradicional + Airbnb,,,,,
210,10,SECCIÓN A — FOUNDER CATALOG (600),A1 — Marketplace + capa premium colonia,Mapa interactivo con todos los proyectos,,,,,
211,11,SECCIÓN A — FOUNDER CATALOG (600),A1 — Marketplace + capa premium colonia,Vista lista vs grid vs mapa,,,,,
212,12,SECCIÓN A — FOUNDER CATALOG (600),A1 — Marketplace + capa premium colonia,Saved searches (búsquedas guardadas),,,,,
213,13,SECCIÓN A — FOUNDER CATALOG (600),A1 — Marketplace + capa premium colonia,Alertas cuando entra inventario nuevo en mi búsqueda,,,,,
214,14,SECCIÓN A — FOUNDER CATALOG (600),A1 — Marketplace + capa premium colonia,Comparador 3-way,,,,,
215,15,SECCIÓN A — FOUNDER CATALOG (600),A1 — Marketplace + capa premium colonia,Notas privadas por proyecto/unidad,,,,,
216,16,SECCIÓN A — FOUNDER CATALOG (600),A1 — Marketplace + capa premium colonia,"Etiquetas custom (para mi cliente Juan, etc.)",,,,,
