var,usada_en_n,documentada_env_example,ejemplo_archivo
IE_OSM_OVERPASS_URL,2,sí,backend/connectors_ie.py
IE_SACMEX_RESOURCE_ID,1,sí,backend/connectors_ie.py
IE_SHF_XLSX_URL,1,sí,backend/shf_engine.py
IE_SIG_WFS_URL,1,sí,backend/sig_catastro_engine.py
IE_UPLOAD_DIR,4,sí,backend/branding_helpers.py
IE_VALORES_UNITARIOS_2026_URL,1,sí,backend/valores_unitarios_engine.py
IMAGE_EMBEDDINGS_ENABLED,2,sí,backend/scheduler_saved_search_alerts.py
JWT_SECRET,2,sí,backend/routes/ie_engine.py
LEAD_CAPTURE_SECRET,2,sí,backend/routes/dev_batch1.py
LEAD_ENRICHMENT_CACHE_TTL_DAYS,1,sí,backend/lead_enrichment_engine.py
LEAD_ENRICHMENT_DAILY_CAP_PER_TENANT,1,sí,backend/lead_enrichment_engine.py
LEAD_ENRICHMENT_SOURCES_ORDER,1,sí,backend/lead_enrichment_engine.py
LFPDPPP_SALT,9,sí,backend/buyer_coach_engine.py
LINKEDIN_AUTHOR_URN,1,sí,backend/marketing_mcp_engine.py
LINKEDIN_OAUTH,1,sí,backend/marketing_mcp_engine.py
LINKEDIN_OAUTH_CLIENT_ID,1,sí,backend/services/linkedin_import.py
LINKEDIN_TOKEN,1,sí,backend/conversation_channels/linkedin.py
LIVE_PULSE_FREQUENCY,2,sí,backend/live_pulse_cron.py
LLM_TIMEOUT_SECONDS,1,sí,backend/llm_client.py
LOG_LEVEL,1,sí,backend/lead_nurture_engine.py
LUMA_API_BASE,1,sí,backend/luma_client.py
LUMA_API_KEY,1,sí,backend/luma_client.py
MAPBOX_TOKEN,4,sí,backend/connector_registry.py
MARKETPLACE_TEMPLATES_CLONE_CAP_HOURLY,1,sí,backend/routes/marketplace_templates.py
MARKETPLACE_TEMPLATES_PUBLISH_CAP_DAILY,1,sí,backend/routes/marketplace_templates.py
MARKETPLACE_TEMPLATE_REVENUE_DMX_PCT,1,sí,backend/marketplace_templates_engine.py
META_APP_ID,1,sí,backend/social_ads_oauth.py
META_APP_REVIEW_APPROVED,1,sí,backend/social_ads_oauth.py
META_APP_SECRET,3,sí,backend/lead_capture_engine.py
META_IG_TOKEN,1,sí,backend/conversation_channels/instagram.py
META_PAGE_TOKEN,2,sí,backend/conversation_channels/instagram.py
META_VERIFY_TOKEN,1,sí,backend/routes/lead_capture.py
META_WA_PHONE_ID,2,sí,backend/asistente_engine.py
META_WA_TOKEN,2,sí,backend/asistente_engine.py
MONGO_CONNECT_TIMEOUT_MS,1,sí,backend/server.py
MONGO_MAX_POOL_SIZE,1,sí,backend/server.py
MONGO_MIN_POOL_SIZE,1,sí,backend/server.py
MONGO_SERVER_SELECTION_MS,1,sí,backend/server.py
MONGO_SOCKET_TIMEOUT_MS,1,sí,backend/server.py
MONGO_URL,29,sí,backend/conversation_hook_predictor.py
NEO4J_PASSWORD,1,sí,backend/knowledge_graph_engine.py
NEO4J_URI,1,sí,backend/knowledge_graph_engine.py
NEO4J_USER,1,sí,backend/knowledge_graph_engine.py
NURTURE_THROTTLE_DAYS,1,sí,backend/newsletter_pulse_engine.py
OAUTH_TOKEN_ENCRYPTION_KEY,2,sí,backend/oauth_calendar.py
OPENAI_API_KEY,6,sí,backend/llm_client.py
PDL_API_KEY,1,sí,backend/lead_enrichment_engine.py
PEDRA_API_BASE,1,sí,backend/dev_assets.py
PEDRA_API_KEY,1,sí,backend/dev_assets.py
POSTHOG_HOST,2,sí,backend/connector_registry.py
POSTHOG_KEY,2,sí,backend/connector_registry.py
PRICE_HISTORY_REAL_DATA,1,sí,backend/services/colonia_comparator.py
PRIVATE_BETA_INVITE_EXPIRES_DAYS,1,sí,backend/private_beta_engine.py
PRIVATE_BETA_MODE,1,sí,backend/private_beta_engine.py
PUBLIC_BASE_URL,6,sí,backend/cma_pdf_renderer.py
PUBLIC_URL,1,sí,backend/routes/advisor.py
QA_BASE,1,sí,scripts/qa_journey_dev.py
REACT_APP_BACKEND_URL,378,sí,backend/drive_engine.py
REACT_APP_COMMAND_CENTER,1,sí,frontend/src/App.js
REACT_APP_DEV_PREVIEW,2,sí,frontend/src/pages/FichaCockpit.js
REACT_APP_DEV_V2,10,sí,frontend/src/components/shared/PortalLayout.js
REACT_APP_DMX_ENV,1,sí,frontend/src/observability.js
REACT_APP_DMX_RELEASE,1,sí,frontend/src/observability.js
REACT_APP_FRONTEND_URL,1,sí,backend/routes/dev_batch15.py
REACT_APP_LANDING_DOMAIN,1,sí,frontend/src/pages/public/LandingPublic.js
REACT_APP_LEADS_V2,1,sí,frontend/src/pages/asesor/AsesorContactos.js
REACT_APP_MAPBOX_TOKEN,17,sí,backend/probes/integrations_external.py
REACT_APP_ONBOARDING_TOURS,1,sí,frontend/src/hooks/useTour.js
REACT_APP_POSTHOG_API_KEY,1,sí,frontend/src/lib/posthog.js
REACT_APP_POSTHOG_HOST,2,sí,frontend/src/lib/posthog.js
REACT_APP_POSTHOG_KEY,2,sí,frontend/src/lib/posthog.js
REACT_APP_PRIVATE_BETA_MODE,2,sí,frontend/src/App.js
REACT_APP_SENTRY_DSN,1,sí,frontend/src/observability.js
REACT_APP_SIDEBAR_V2,1,sí,frontend/src/components/shared/PortalLayout.js
REACT_APP_WA_PROVIDER,1,sí,frontend/src/pages/superadmin/SuperadminWhatsApp.js
REPLICATE_API_TOKEN,2,sí,backend/studio_engines.py
REPUTATION_ALERT_THRESHOLD,1,sí,backend/reputation_monitor_engine.py
REPUTATION_BRAND_KEYWORDS,1,sí,backend/reputation_monitor_engine.py
RESEND_API_KEY,35,sí,backend/agentic_crm/reply_classifier_engine.py
RESEND_FROM,2,sí,backend/newsletter_pulse_engine.py
RESEND_FROM_LEAD_NURTURE,4,sí,backend/agentic_crm/reply_classifier_engine.py
RESEND_FROM_NOTIFICATIONS,1,sí,backend/notifications_engine.py
RESEND_REPLY_TO,1,sí,backend/resend_engine.py
RESEND_WEBHOOK_SECRET,1,sí,backend/routes/agentic_crm.py
REVIEWS_RESIDENTS_CACHE_TTL_DAYS,1,sí,backend/reviews_residents_engine.py
SENTRY_DSN,4,sí,backend/connector_registry.py
SOCIAL_ADS_ENCRYPTION_KEY,1,sí,backend/social_ads_oauth.py
SOCIAL_ADS_FERNET_KEY,1,sí,backend/social_ads_oauth.py
SOCIAL_ADS_MAX_CONNECTIONS_PER_TENANT,1,sí,backend/social_ads_engine.py
SOCIAL_ADS_OAUTH_REDIRECT_URI,1,sí,backend/routes/social_ads.py
SOCIAL_CARDS_STORAGE,1,sí,backend/social_cards_engine.py
SOC_FRANCHISE_CACHE_TTL_DAYS,1,sí,backend/soc_franchise_engine.py
SOC_REVENUE_TARGET_30D_MXN,1,sí,backend/soc_franchise_engine.py
STATE_OF_CDMX_STORAGE,1,sí,backend/state_of_cdmx_engine.py
STRIPE_API_KEY,1,sí,backend/stripe_billing_engine.py
STRIPE_SECRET_KEY,1,sí,backend/stripe_billing_engine.py
STRIPE_WEBHOOK_SECRET,2,sí,backend/server.py
STUDIO_ADS_ENGINE,1,sí,backend/routes/studio.py
STUDIO_COPY_ANTHROPIC_MODEL,1,sí,backend/studio_copy_generator/llm_client.py
STUDIO_COPY_MODEL,1,sí,backend/studio_copy_generator/llm_client.py
STUDIO_IMPORTER_USER_AGENT,1,sí,backend/studio_listing_importer.py
STUDIO_STORAGE_PATH,1,sí,backend/studio_engines.py
STUDIO_TTS_ENGINE,1,sí,backend/routes/studio.py
STUDIO_VIDEO_DAILY_CAP_USD,1,sí,backend/ai_budget.py
STUDIO_VIDEO_ENGINE,1,sí,backend/routes/studio.py
STUDIO_VIDEO_OUTPUT_PATH,1,sí,backend/multiratio_renderer.py
TEST_API_URL,2,sí,backend/tests/test_batch11.py
TEST_BASE_URL,2,sí,backend/tests/test_batch14.py
TG_BOT_TOKEN,1,sí,backend/marketing_mcp_engine.py
TG_CHAT_ID,1,sí,backend/marketing_mcp_engine.py
TIKTOK_TOKEN,1,sí,backend/conversation_channels/tiktok.py
TOUR3DGS_STORAGE_PATH,1,sí,backend/tour_3dgs_engine.py
TRAFFIC_BRIEFING_TTL_MIN,1,sí,backend/services/traffic_briefing.py
TRUSTED_PROXY_HOPS,1,sí,backend/ratelimit.py
TWILIO_ACCOUNT_SID,2,sí,backend/asistente_engine.py
TWILIO_AUTH_TOKEN,2,sí,backend/asistente_engine.py
TWILIO_WA_FROM,1,sí,backend/whatsapp_engine.py
URL_GUARD_ALLOWLIST,1,sí,backend/services/url_guard.py
WA_PROVIDER,1,sí,backend/cerebro/executors.py
WHATSAPP_PROVIDER,3,sí,backend/asistente_engine.py
WHATSAPP_VPS_READY,1,sí,backend/conversation_channels/whatsapp_stub.py
WIZARD_STORAGE_PATH,1,sí,backend/routes/wizard.py
X_BEARER_TOKEN,2,sí,backend/marketing_mcp_engine.py
YOUTUBE_TOKEN,1,sí,backend/conversation_channels/youtube.py
